=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     100
Total Generations:   2000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
Generation 611 | Best Fitness: 72.7531
Generation 612 | Best Fitness: 72.7531
Generation 613 | Best Fitness: 72.7531
Generation 614 | Best Fitness: 72.7531
Generation 615 | Best Fitness: 72.7531
Generation 616 | Best Fitness: 72.7531
Generation 617 | Best Fitness: 72.7531
Generation 618 | Best Fitness: 72.7531
Generation 619 | Best Fitness: 72.7531
Generation 620 | Best Fitness: 72.7531
Generation 621 | Best Fitness: 72.7531
Generation 622 | Best Fitness: 72.7531
Generation 623 | Best Fitness: 72.7531
Generation 624 | Best Fitness: 72.7531
Generation 625 | Best Fitness: 72.7531
Generation 626 | Best Fitness: 72.7531
Generation 627 | Best Fitness: 72.7531
Generation 628 | Best Fitness: 72.7531
Generation 629 | Best Fitness: 72.3768
Generation 630 | Best Fitness: 72.3768
Generation 631 | Best Fitness: 72.3768
Generation 632 | Best Fitness: 72.3768
Generation 633 | Best Fitness: 71.5764
Generation 634 | Best Fitness: 71.5764
Generation 635 | Best Fitness: 71.5764
Generation 636 | Best Fitness: 71.47
Generation 637 | Best Fitness: 71.47
Generation 638 | Best Fitness: 71.47
Generation 639 | Best Fitness: 71.47
Generation 640 | Best Fitness: 71.47
Generation 641 | Best Fitness: 71.47
Generation 642 | Best Fitness: 71.47
Generation 643 | Best Fitness: 71.47
Generation 644 | Best Fitness: 71.47
Generation 645 | Best Fitness: 71.0937
Generation 646 | Best Fitness: 71.0937
Generation 647 | Best Fitness: 71.0937
Generation 648 | Best Fitness: 71.0937
Generation 649 | Best Fitness: 71.0937
Generation 650 | Best Fitness: 71.0937
Generation 651 | Best Fitness: 71.0937
Generation 652 | Best Fitness: 71.0937
Generation 653 | Best Fitness: 70.9965
Generation 654 | Best Fitness: 70.9965
Generation 655 | Best Fitness: 70.9965
Generation 656 | Best Fitness: 70.9965
Generation 657 | Best Fitness: 70.9965
Generation 658 | Best Fitness: 70.9965
Generation 659 | Best Fitness: 70.9965
Generation 660 | Best Fitness: 70.9965
Generation 661 | Best Fitness: 70.9965
Generation 662 | Best Fitness: 70.9965
Generation 663 | Best Fitness: 70.9965
Generation 664 | Best Fitness: 70.9965
Generation 665 | Best Fitness: 70.9965
Generation 666 | Best Fitness: 70.9965
Generation 667 | Best Fitness: 70.9965
Generation 668 | Best Fitness: 70.9965
Generation 669 | Best Fitness: 70.9965
Generation 670 | Best Fitness: 70.9965
Generation 671 | Best Fitness: 70.9965
Generation 672 | Best Fitness: 70.9965
Generation 673 | Best Fitness: 70.7424
Generation 674 | Best Fitness: 70.7424
