#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         689    0.994488     0.82723   0.0627816
         690    0.999011    0.827479   0.0626911
         691     1.00393    0.827734   0.0626009
         692     1.00969    0.827997    0.062511
         693     1.01528    0.828268   0.0624214
         694     1.02067    0.828545   0.0623321
         695     1.02629    0.828829    0.062243
         696     1.03113     0.82912   0.0621543
         697     1.03612    0.829417   0.0620658
         698     1.04168    0.829721   0.0619776
         699     1.04707    0.830032   0.0618898
         700       1.052    0.830349   0.0618022
         701     1.05691    0.830672   0.0617148
         702     1.06082       0.831   0.0616278
         703     1.06563    0.831334    0.061541
         704      1.0689    0.831671   0.0614545
         705     1.07158    0.832012   0.0613683
         706     1.07488    0.832356   0.0612824
         707     1.07709    0.832702   0.0611967
         708      1.0799    0.833051   0.0611112
         709     1.08188    0.833402    0.061026
         710     1.08352    0.833754   0.0609411
         711     1.08411    0.834106   0.0608564
         712     1.08513    0.834459   0.0607719
         713     1.08492     0.83481   0.0606877
         714      1.0847     0.83516   0.0606037
         715     1.08429    0.835509     0.06052
         716     1.08516    0.835857   0.0604365
         717      1.0847    0.836204   0.0603532
         718     1.08392    0.836549   0.0602701
         719      1.0836    0.836893   0.0601872
         720     1.08354    0.837235   0.0601046
         721      1.0828    0.837576   0.0600222
         722     1.08265    0.837916   0.0599401
         723      1.0824    0.838254   0.0598581
         724     1.08258    0.838591   0.0597764
         725     1.08297    0.838928   0.0596949
         726     1.08362    0.839265   0.0596136
         727      1.0843    0.839602   0.0595326
